time,x,y,stellar_vel,stellar_sigma,emline_ha,emline_hb,emline_oiii4960,emline_oiii5008,timedelta
15:21:50.627056,43,31,55.00688,71.9981,26.188025,5.764029,1.8966311,5.418946,3.308702
15:21:50.636158,46,29,55.317753,79.46037,3.6166718,0.9327422,0.28667745,0.8190784,3.317804
15:21:50.645108,48,28,60.497646,74.073814,1.7703942,0.5173346,0.14462705,0.41322014,3.326754
15:21:50.662465,50,26,60.497646,66.71948,0.7286027,0.16998279,0.06155735,0.17587814,3.344111
15:21:50.671913,51,25,107.03171,66.71948,0.51203793,0.12063896,0.043012295,0.122892275,3.353559
15:21:50.677174,51,24,107.03171,66.71948,0.45507315,0.11457363,0.039205793,0.11201655,3.35882
15:21:50.685474,52,23,107.03171,66.71948,0.36292368,0.16438262,0.036413286,0.10403796,3.36712
15:21:50.694137,53,23,107.03171,66.71948,0.33197823,0.2003681,0.04067363,0.11621037,3.375783
15:21:50.704065,53,22,107.03171,66.71948,0.28459945,0.18400377,0.030592578,0.087407365,3.385711
15:21:50.711879,54,22,107.03171,66.71948,0.26922125,0.1766913,0.025634635,0.073241815,3.393525
15:21:50.720140,55,21,107.03171,0.0,0.21354975,0.11407647,0.015837623,0.045250352,3.401786
15:21:50.728114,55,21,107.03171,0.0,0.21354975,0.11407647,0.015837623,0.045250352,3.40976
15:21:50.737269,56,21,107.03171,0.0,0.19154294,0.066802375,0.0180166,0.051475994,3.418915
15:21:50.744912,57,21,107.03171,0.0,0.18868136,0.040812086,0.022255488,0.06358711,3.426558
15:21:50.752738,58,21,107.03171,0.0,0.19507773,0.054883163,0.026954563,0.07701304,3.434384
15:21:50.760319,59,21,107.03171,0.0,0.2098359,0.06407628,0.017503396,0.050009705,3.441965
15:21:50.769757,61,21,107.03171,0.0,0.19856031,0.06600955,0.021957844,0.0627367,3.451403
15:21:50.777360,62,21,0.0,0.0,0.19681375,0.07877837,0.021329537,0.060941536,3.459006
15:21:50.786385,64,21,0.0,0.0,0.2126399,0.06785706,0.015571936,0.044491246,3.468031
15:21:50.795591,65,22,0.0,0.0,0.23275779,0.0,0.005986358,0.01710388,3.477237
15:21:50.804291,67,23,0.0,0.0,0.0,0.0,0.0,0.0,3.485937
15:21:50.811110,68,23,0.0,0.0,0.0,0.0,0.0,0.0,3.492756
15:21:50.819452,69,24,0.0,0.0,0.0,0.0,0.0,0.0,3.501098
15:21:50.827692,71,25,0.0,0.0,0.0,0.0,0.0,0.0,3.509338
15:21:50.835872,71,26,0.0,0.0,0.0,0.0,0.0,0.0,3.517518
15:21:50.844084,72,26,0.0,0.0,0.0,0.0,0.0,0.0,3.52573
15:21:50.852590,72,26,0.0,0.0,0.0,0.0,0.0,0.0,3.534236
15:21:50.860544,73,27,0.0,0.0,0.0,0.0,0.0,0.0,3.54219
15:21:51.107770,73,27,0.0,0.0,0.0,0.0,0.0,0.0,3.789416
15:21:51.124160,73,27,0.0,0.0,0.0,0.0,0.0,0.0,3.805806
